participant_id,date,participant_id_dataset,grit_1,grit_2,grit_3,grit_4,grit_5,catch_question,grit_6,grit_7,grit_8,adhd_1,adhd_2,adhd_3,adhd_4,adhd_5,adhd_6,neo_pi_1,neo_pi_2,neo_pi_3,neo_pi_4,neo_pi_5,neo_pi_6,neo_pi_7,neo_pi_8,neo_pi_9,neo_pi_10,neo_pi_11,neo_pi_12,neo_pi_13,neo_pi_14,neo_pi_15,neo_pi_16,neo_pi_17,neo_pi_18,catch_question_1,neo_pi_19,neo_pi_20,neo_pi_21,neo_pi_22,neo_pi_23,neo_pi_24,neo_pi_25,neo_pi_26,neo_pi_27,neo_pi_28,neo_pi_29,neo_pi_30,neo_pi_31,neo_pi_32,neo_pi_33,neo_pi_34,neo_pi_35,neo_pi_36,neo_pi_37,catch_question_2,neo_pi_38,neo_pi_39,neo_pi_40,neo_pi_41,neo_pi_42,neo_pi_43,neo_pi_44,neo_pi_45,neo_pi_46,neo_pi_47,neo_pi_48,neo_pi_49,neo_pi_50,growth_mind_set_1,growth_mind_set_2,growth_mind_set_3,growth_mind_set_4,growth_mind_set_5,growth_mind_set_6,growth_mind_set_7,growth_mind_set_8,ucmrt_1,ucmrt_2,ucmrt_3,ucmrt_4,ucmrt_5,ucmrt_6,ucmrt_7,ucmrt_8,ucmrt_9,sandia_matrices_1,sandia_matrices_2,sandia_matrices_4,sandia_matrices_5,sandia_matrices_6,sandia_matrices_7,sandia_matrices_8,sandia_matrices_9,sandia_matrices_3
NA,2018-09-12T14:13:27Z,R_25LoJSzFVnS1jq4,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,3,2,4,2,5,4,3,2,2,2,2,3,2,2,3,2,3,2,2,3,2,3,5,3,4,3,2,3,3,2,3,2,3,2,3,3,3,4,4,4,4,3,3,2,3,2,3,2,3,2,3,2,3,4,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60085,2018-09-19T15:12:48Z,R_3npFSWo8HREY8hw,3,1,4,2,4,4,3,3,2,1,2,2,3,2,3,3,4,4,4,4,4,4,2,4,4,1,3,2,2,2,4,4,5,5,1,3,2,2,1,4,4,5,1,4,5,2,1,1,5,4,1,4,1,4,4,1,1,4,4,5,4,1,4,1,5,2,1,10,8,11,10,10,7,10,8,5,7,6,2,1,3,2,6,5,8,2,7,6,2,7,4,3,5
NA,2018-09-20T15:51:13Z,R_8xnRHBIzFEaYNBD,2,3,2,3,3,4,2,4,4,4,3,3,2,2,3,3,3,2,4,3,3,3,3,4,2,3,3,2,4,3,2,4,4,5,3,3,3,2,2,4,3,3,3,2,4,4,3,2,2,2,3,4,2,4,3,2,3,3,3,3,2,1,4,3,4,2,3,8,8,10,9,10,8,9,8,5,7,6,2,1,8,2,6,5,8,1,5,6,5,7,5,6,5
60752,2018-10-03T16:59:16Z,R_1d4PIkIWyzy7qSy,2,2,2,3,2,2,1,2,2,3,3,4,3,3,3,3,4,2,4,4,4,4,2,3,2,2,4,2,4,4,2,4,4,4,4,2,4,4,4,4,4,2,3,2,4,4,4,2,4,4,4,4,4,2,3,2,4,3,4,5,3,3,3,3,4,4,4,11,7,7,8,7,7,7,10,5,7,6,2,1,8,1,6,5,8,7,5,6,5,7,5,6,5
61233,2018-10-04T18:04:02Z,R_2vfba8524Pd8hvQ,3,4,2,1,3,4,3,1,1,2,3,3,3,4,3,2,3,4,3,5,2,5,1,4,2,3,3,3,2,3,4,4,4,5,3,2,3,2,3,4,4,5,2,4,5,3,1,2,4,2,1,4,2,1,4,2,2,3,1,4,5,2,3,4,5,3,1,11,7,11,7,9,9,9,7,5,7,3,8,1,6,1,6,5,8,2,5,8,5,7,4,7,4
60864,2018-10-12T16:22:19Z,R_DoahpytSsvJ9lPb,3,2,4,1,4,4,2,1,2,3,4,2,4,5,3,3,2,4,3,4,2,4,3,4,3,2,3,4,3,2,2,4,4,5,3,2,3,2,3,4,2,4,1,3,4,2,2,4,4,4,3,4,3,4,4,1,3,3,1,5,4,1,1,3,5,4,3,11,8,9,8,9,8,10,8,5,6,8,7,5,3,7,6,3,8,5,2,7,4,5,6,5,4
61230,2018-10-18T14:14:38Z,R_25Y32tljq3KIRUG,4,3,2,1,4,4,3,2,1,3,2,2,3,2,3,3,2,2,1,4,3,3,3,3,3,4,4,3,2,2,1,4,3,5,2,3,3,2,4,4,3,3,2,3,3,4,1,2,4,3,2,4,4,4,4,2,3,3,2,3,3,1,3,1,5,3,3,8,8,7,6,7,9,7,9,5,3,2,4,6,5,3,8,2,7,1,5,4,1,1,4,2,1
61382,2018-10-19T11:37:33Z,R_u4Xe7weP6QoeQcp,3,3,1,4,3,4,3,4,3,2,3,2,4,2,3,3,4,4,4,3,3,2,1,4,3,5,2,3,2,5,1,4,3,5,4,5,5,3,2,2,5,5,4,3,4,2,3,1,3,3,2,5,2,4,2,4,3,4,5,3,4,2,3,4,5,4,2,7,10,6,9,7,10,7,10,5,7,6,2,1,8,2,6,5,8,7,5,6,5,7,5,6,5
60068,2018-10-29T14:26:31Z,R_2VOXp0yMRTblXl2,3,3,3,2,4,3,2,3,2,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,5,4,4,4,3,4,5,4,4,4,4,5,4,4,5,4,4,4,4,4,5,4,4,5,4,5,4,2,2,2,2,2,2,2,2,4,5,4,4,10,6,6,7,7,7,7,7,5,2,8,4,1,8,2,6,4,8,4,6,1,2,7,3,5,5
61542,2018-10-30T12:13:17Z,R_2P85mM4fc8tOOEb,3,3,3,3,3,3,3,3,3,4,4,4,5,5,5,3,4,2,3,2,1,2,4,3,3,2,3,4,4,4,2,3,3,5,2,2,5,2,2,4,3,4,3,2,3,5,3,2,2,3,4,4,2,2,2,4,2,2,5,4,4,2,4,2,5,5,2,11,7,7,9,9,8,12,8,4,3,8,6,1,6,6,6,5,8,5,5,6,5,8,5,6,5
