participant_id_dataset,semester_id,date,year,academic_year,semester,days_since_semester_start,first_day_of_the_semester,dataset_of_origin,neuroticism_score,conscientiousness_score,openness_score,extraversion_score,agreeableness_score,grit_score,conscience_score,meta_cog,mindset_score,SC0,SC1,SC2,SC3,SC4,SC10,SC11,SC12,SC13,dataset,raven_version,raven_hit_rate,raven_total_duration,ucmrt_version,ucmrt_hit_rate,ucmrt_total_duration
1002,NA,2020-05-12,2020,NA,NA,NA,NA,2021_JP_R56,4,4,3,3.5,4.5,3.5,3.8,4.233333333333333,2.4,7,9,8,8,6,28,38,127,48,questionnaires,NA,NA,NA,NA,NA,NA
1003,NA,2020-05-12,2020,NA,NA,NA,NA,2021_JP_R56,3.5,3.5,3.5,1,3.5,3,3.9,3.3333333333333335,2,2,7,7,7,7,24,39,100,40,questionnaires,NA,NA,NA,NA,NA,NA
1004,NA,2020-05-13,2020,NA,NA,NA,NA,2021_JP_R56,4.5,3.5,2.5,3,4,4.125,4.1,4.033333333333333,2.3,6,8,7,9,5,33,41,121,46,questionnaires,NA,NA,NA,NA,NA,NA
1005,NA,2020-05-12,2020,NA,NA,NA,NA,2021_JP_R56,3,3.5,4,2,4.5,3.75,3.4,3.1333333333333333,2.25,4,9,7,6,8,30,34,94,45,questionnaires,NA,NA,NA,NA,NA,NA
1006,NA,2020-05-12,2020,NA,NA,NA,NA,2021_JP_R56,3,2,3.5,2,4,3,2.8,3.7666666666666666,2,4,8,4,6,7,24,28,113,40,questionnaires,NA,NA,NA,NA,NA,NA
1007,NA,2020-05-13,2020,NA,NA,NA,NA,2021_JP_R56,3.5,3,3.5,2,4.5,2.875,3.4,3.1333333333333333,2.2,4,9,6,7,7,23,34,94,44,questionnaires,NA,NA,NA,NA,NA,NA
1008,NA,2020-05-13,2020,NA,NA,NA,NA,2021_JP_R56,4.5,2,3,3,3.5,2.75,2.9,3.6,2.45,6,7,4,9,6,22,29,108,49,questionnaires,NA,NA,NA,NA,NA,NA
1010,NA,2020-05-15,2020,NA,NA,NA,NA,2021_JP_R56,2.5,3.5,2.5,4.5,4.5,3.625,2.7,3.8,1.7,9,9,7,5,5,29,27,114,34,questionnaires,NA,NA,NA,NA,NA,NA
1011,NA,2020-05-14,2020,NA,NA,NA,NA,2021_JP_R56,2.5,3.5,3,4.5,3.5,2.875,3.4,3.8,1.75,9,7,7,5,6,23,34,114,35,questionnaires,NA,NA,NA,NA,NA,NA
1012,NA,2020-05-14,2020,NA,NA,NA,NA,2021_JP_R56,4.5,3,4.5,3,1.5,3.25,2.9,2.566666666666667,1.75,6,3,6,9,9,26,29,77,35,questionnaires,NA,NA,NA,NA,NA,NA
