participant_id,participant_id_dataset,semester_id,date,year,academic_year,semester,days_since_semester_start,first_day_of_the_semester,dataset_of_origin,torr_set1_score,torr_set2_score,atmi_score,wj_score,torr_s1_q1_resp,torr_s1_q2_resp,torr_s1_q3_resp,torr_s1_q4_resp,torr_s1_q5_resp,torr_s1_q6_resp,torr_s1_q7_resp,torr_s1_q8_resp,torr_s2_q1_resp,torr_s2_q2_resp,torr_s2_q3_resp,torr_s2_q4_resp,torr_s2_q5_resp,torr_s2_q6_resp,torr_s2_q7_resp,torr_s2_q8_resp,q1_r_sc,q2_r_sc,q3_r_sc,q4_r_sc,q5_r_sc,q6_sc,q7_sc,q8_sc,q9_sc,q10_r_sc,q11_sc,q12_sc,q13_val,q14_val,q15_val,q16_val,q17_val,q18_val,q19_val,q20_enj,q21_r_enj,q22_enj,q23_enj,q24_enj,q25_enj,q26_enj,q27_enj,q28_enj,q29_mot,q30_r_mot,q31_mot,q32_mot,x63,x64
SEP_7_0001,502,spring-2020,2020-03-22,2020,2019-2020,spring,61,2020-01-21,7,7,8,108,77,A,C,B,B,D,B,A,A,B,C,C,D,A,D,A,D,2,2,2,2,2,3,4,4,3,2,3,4,5,4,5,5,4,5,4,4,2,4,5,4,2,4,3,3,3,2,4,3,NA,NA
SEP_7_0002,914,spring-2020,2020-03-18,2020,2019-2020,spring,57,2020-01-21,7,5,5,98,77,A,B,B,C,D,C,A,C,A,C,C,D,A,C,A,C,4,4,2,2,2,4,3,3,3,5,2,2,2,3,3,4,3,4,4,4,2,2,2,3,3,4,4,3,3,3,3,3,NA,NA
SEP_7_0003,950,spring-2020,2020-04-22,2020,2019-2020,spring,92,2020-01-21,7,3,1,92,97,C,B,B,A,B,D,B,A,B,B,D,C,C,C,B,A,1,3,4,2,2,3,4,4,4,1,3,4,3,3,4,4,3,2,2,3,3,2,2,3,4,3,3,4,2,4,2,1,NA,NA
SEP_7_0004,3002,spring-2020,2020-03-22,2020,2019-2020,spring,61,2020-01-21,7,5,4,104,75,B,B,B,B,D,C,A,D,B,C,D,B,A,D,B,B,1,1,1,1,1,4,5,4,5,1,4,4,5,5,5,5,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,NA,NA
SEP_7_0005,3135,spring-2020,2020-03-20,2020,2019-2020,spring,59,2020-01-21,7,3,2,102,100,C,C,B,C,D,B,C,D,B,B,D,B,C,A,A,C,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,NA,NA
SEP_7_0006,3289,spring-2020,2020-03-23,2020,2019-2020,spring,62,2020-01-21,7,4,4,87,90,A,C,C,B,A,B,A,C,B,B,A,B,A,D,A,C,4,2,4,3,3,2,2,2,3,2,2,3,3,2,4,3,2,4,3,2,4,3,3,2,1,3,2,2,3,4,3,2,NA,NA
SEP_7_0007,5217,spring-2020,2020-03-18,2020,2019-2020,spring,57,2020-01-21,7,0,3,110,93,D,C,C,C,A,A,C,D,C,A,A,D,A,C,B,D,2,2,2,3,3,2,3,4,3,2,3,4,4,5,5,5,5,4,4,4,3,4,2,3,2,4,5,5,4,2,3,4,NA,NA
SEP_7_0008,5399,spring-2020,2020-03-22,2020,2019-2020,spring,61,2020-01-21,7,6,3,96,108,D,D,B,B,D,B,A,A,B,B,B,D,C,A,A,C,4,1,1,2,4,5,5,4,5,2,4,4,2,2,3,2,2,4,2,4,4,2,4,2,1,2,4,4,4,4,2,1,NA,NA
SEP_7_0009,5690,spring-2020,2020-04-04,2020,2019-2020,spring,74,2020-01-21,7,3,7,112,85,A,C,B,C,B,D,A,B,B,C,C,C,A,D,A,D,2,1,1,1,1,5,5,5,5,1,5,5,5,3,4,5,4,4,4,3,2,3,5,3,3,4,5,5,5,2,3,3,NA,NA
SEP_7_0010,6257,spring-2020,2020-03-22,2020,2019-2020,spring,61,2020-01-21,7,5,4,120,66,D,B,B,B,D,A,A,D,B,C,C,D,D,A,C,C,1,1,1,1,1,5,5,4,5,1,5,5,5,5,5,5,4,5,3,5,1,5,5,5,5,5,5,4,5,1,4,3,NA,NA
