participant_id,semester_phase,participant_id_dataset,semester_id,date,year,academic_year,semester,first_day_of_the_semester,dataset_of_origin,source,grit_overall,grit_interest,grit_effort,matrices_hit_rate,ucmrt_hit_rate,sandia_matrices_hit_rate,neuroticism_score,extraversion_score,conscientiousness_score,openness_score,agreeableness_score,adhd_clinical,adhd_total,growth_mindset_score
sep_3_0093,end,r_3pgl5z1prtz6p3r,fall_2018,2018-11-19T10:01:33Z,2018,2018_2019,fall,9_5_2018,2017_2023_generic_post_survey,post_study_survey_2018_2019,3.25,3.25,3.25,0.833333333,0.777777778,0.888888889,2.8,3.4,4,4.4,3.2,no,1,4.25
sep_3_0094,end,r_1klmnges1nrosbf,fall_2018,2018-11-20T14:37:06Z,2018,2018_2019,fall,9_5_2018,2017_2023_generic_post_survey,post_study_survey_2018_2019,3,2.75,3.25,0.777777778,0.888888889,0.666666667,3.9,2,2.8,3.2,3.6,no,2,5.875
sep_3_0096,end,r_sq2v7trituzxo7n,fall_2018,2018-11-28T13:40:27Z,2018,2018_2019,fall,9_5_2018,2017_2023_generic_post_survey,post_study_survey_2018_2019,3.375,2.75,4,0.388888889,0.333333333,0.444444444,2.8,4.4,4.3,3.8,3.9,no,1,6
sep_3_0097,end,r_rl6tquudv7h6pcx,fall_2018,2018-11-28T15:01:25Z,2018,2018_2019,fall,9_5_2018,2017_2023_generic_post_survey,post_study_survey_2018_2019,1.625,1.25,2,0.666666667,0.666666667,0.666666667,3.2,3.5,3.4,2.8,2.5,no,2,5.5
sep_3_0098,end,r_1exjsnzeiwbtavv,fall_2018,2018-11-30T14:21:51Z,2018,2018_2019,fall,9_5_2018,2017_2023_generic_post_survey,post_study_survey_2018_2019,3.375,3.5,3.25,0.277777778,0.222222222,0.333333333,4.1,3,4.2,4.3,3.7,no,2,5.25
sep_3_0099,end,r_pek8pqrjcqtdovx,fall_2018,2018-12-02T15:43:20Z,2018,2018_2019,fall,9_5_2018,2017_2023_generic_post_survey,post_study_survey_2018_2019,4,4,4,0.611111111,0.888888889,0.333333333,1.5,5,4.4,2.6,4.2,no,2,6.625
sep_3_0101,end,r_3lgrrntyzzfwrjl,fall_2018,2018-12-02T22:01:22Z,2018,2018_2019,fall,9_5_2018,2017_2023_generic_post_survey,post_study_survey_2018_2019,2.875,3,2.75,0.833333333,0.777777778,0.888888889,3.9,2.7,2.8,4.8,3.7,no,3,6.375
sep_3_0102,end,r_2dgrqqiqpazch0h,fall_2018,2018-12-04T22:47:25Z,2018,2018_2019,fall,9_5_2018,2017_2023_generic_post_survey,post_study_survey_2018_2019,3.5,4,3,0.333333333,0.222222222,0.444444444,2.5,3.1,4.1,3.6,4.6,no,1,5.375
sep_3_0103,end,r_10xiik0pdnzi7ii,fall_2018,2018-12-05T16:04:54Z,2018,2018_2019,fall,9_5_2018,2017_2023_generic_post_survey,post_study_survey_2018_2019,2.375,2.5,2.25,0.111111111,0.111111111,0.111111111,3.6,2.8,3.3,3,2.7,yes,4,4
sep_3_0105,end,r_curngwpv0pgz6zb,fall_2018,2018-12-05T17:23:26Z,2018,2018_2019,fall,9_5_2018,2017_2023_generic_post_survey,post_study_survey_2018_2019,2.375,2.25,2.5,0.111111111,0.222222222,0,3,4.6,3.2,3.1,3.8,no,3,6.125
