participant_id,participant_id_dataset,semester_id,date,year,academic_year,semester,days_since_semester_start,first_day_of_the_semester,dataset_of_origin,source,grit_overall,matrices_hit_rate,ucmrt_hit_rate,sandia_matrices_hit_rate,neuroticism_score,extraversion_score,conscientiousness_score,openness_score,agreeableness_score,adhd_clinical,adhd_total,growth_mindset_score,grit_1,grit_2,grit_3,grit_4,grit_5,grit_6,grit_7,grit_8,adhd_1,adhd_2,adhd_3,adhd_4,adhd_5,adhd_6,neo_pi_1,neo_pi_2,neo_pi_3,neo_pi_4,neo_pi_5,neo_pi_6,neo_pi_7,neo_pi_8,neo_pi_9,neo_pi_10,neo_pi_11,neo_pi_12,neo_pi_13,neo_pi_14,neo_pi_15,neo_pi_16,neo_pi_17,neo_pi_18,neo_pi_19,neo_pi_20,neo_pi_21,neo_pi_22,neo_pi_23,neo_pi_24,neo_pi_25,neo_pi_26,neo_pi_27,neo_pi_28,neo_pi_29,neo_pi_30,neo_pi_31,neo_pi_32,neo_pi_33,neo_pi_34,neo_pi_35,neo_pi_36,neo_pi_37,neo_pi_38,neo_pi_39,neo_pi_40,neo_pi_41,neo_pi_42,neo_pi_43,neo_pi_44,neo_pi_45,neo_pi_46,neo_pi_47,neo_pi_48,neo_pi_49,neo_pi_50,growth_mind_set_1,growth_mind_set_2,growth_mind_set_3,growth_mind_set_4,growth_mind_set_5,growth_mind_set_6,growth_mind_set_7,growth_mind_set_8,catch_question,catch_question_1,catch_question_2,ucmrt_1,ucmrt_2,ucmrt_3,ucmrt_4,ucmrt_5,ucmrt_6,ucmrt_7,ucmrt_8,ucmrt_9,sandia_matrices_1,sandia_matrices_2,sandia_matrices_4,sandia_matrices_5,sandia_matrices_6,sandia_matrices_7,sandia_matrices_8,sandia_matrices_9,sandia_matrices_3,grit_interest,grit_effort,adhd_1_sig,adhd_2_sig,adhd_3_sig,adhd_4_sig,adhd_5_sig,adhd_6_sig,sandia_1_correct,sandia_2_correct,sandia_3_correct,sandia_4_correct,sandia_5_correct,sandia_6_correct,sandia_7_correct,sandia_8_correct,sandia_9_correct,ucmrt_1_correct,ucmrt_2_correct,ucmrt_3_correct,ucmrt_4_correct,ucmrt_5_correct,ucmrt_6_correct,ucmrt_7_correct,ucmrt_8_correct,ucmrt_9_correct
SEP_3_0001,R_1rwxR6M6ETe170Y,Spring-2018,2018-02-19T12:43:25Z,2018,2017-2018,Spring,28,1/23/2018,2017-2023_Generic_Post_Survey,post-study-survey_2017-2018,3.625,NA,NA,NA,2.5,3.3,4.5,3.6,4.1,0,0,NA,4,3,4,1,4,4,2,1,2,2,2,3,3,3,3,1,4,4,4,2,5,3,4,2,1,2,4,3,4,4,4,4,2,3,2,3,2,4,3,3,2,4,4,2,1,3,4,4,1,3,2,4,1,1,4,3,5,5,1,3,3,5,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3.25,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SEP_3_0002,R_4UvNxmmKXyUh9br,Spring-2018,2018-02-19T14:23:02Z,2018,2017-2018,Spring,28,1/23/2018,2017-2023_Generic_Post_Survey,post-study-survey_2017-2018,3.25,NA,NA,NA,2.2,4,3.6,4.6,3.3,0,0,NA,2,1,3,1,4,3,2,2,2,2,1,2,2,2,2,4,2,5,5,1,4,4,5,4,2,3,4,2,1,2,3,4,1,1,4,3,1,3,5,4,2,3,5,2,3,1,4,2,2,4,1,4,2,1,4,1,4,4,2,2,3,4,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3.5,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SEP_3_0003,R_sS68uGm5FoVhqWB,Spring-2018,2018-02-19T14:40:26Z,2018,2017-2018,Spring,28,1/23/2018,2017-2023_Generic_Post_Survey,post-study-survey_2017-2018,2.5,NA,NA,NA,3,3,3,3,3,1,6,NA,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SEP_3_0004,R_32Qr9xaV7jOIlTa,Spring-2018,2018-02-22T12:12:45Z,2018,2017-2018,Spring,31,1/23/2018,2017-2023_Generic_Post_Survey,post-study-survey_2017-2018,2.5,NA,NA,NA,2.2,3.4,3,3,3,0,0,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SEP_3_0005,R_27g7zGfMdnw6Byu,Spring-2018,2018-02-26T14:50:07Z,2018,2017-2018,Spring,35,1/23/2018,2017-2023_Generic_Post_Survey,post-study-survey_2017-2018,2.5,NA,NA,NA,3,3,3,3,3,0,0,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SEP_3_0006,R_0qA9Fquiagvh7Xj,Spring-2018,2018-02-28T15:54:22Z,2018,2017-2018,Spring,37,1/23/2018,2017-2023_Generic_Post_Survey,post-study-survey_2017-2018,2.375,NA,NA,NA,4.1,3.3,3.6,5,4.3,1,6,NA,1,3,1,1,2,1,1,1,3,5,5,5,5,5,5,3,5,5,1,1,3,1,1,1,1,5,3,5,4,3,5,5,1,1,3,5,1,1,5,2,4,2,3,4,1,1,4,1,1,3,1,1,4,1,5,1,2,5,1,1,4,5,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.25,3.5,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SEP_3_0007,R_3p9dZiDV26DPYFE,Spring-2018,2018-02-28T21:41:13Z,2018,2017-2018,Spring,37,1/23/2018,2017-2023_Generic_Post_Survey,post-study-survey_2017-2018,3.375,NA,NA,NA,2.9,3.7,3.9,3.6,3.5,0,2,NA,3,1,3,2,3,3,1,1,3,3,2,3,3,2,3,2,3,3,3,4,3,3,2,3,2,3,4,3,3,4,3,3,4,3,3,3,1,3,5,5,3,3,4,2,2,2,4,2,2,3,1,4,2,3,4,1,4,5,2,1,2,4,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3.75,1,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SEP_3_0008,R_TpxbIdEapa1Pjrj,Spring-2018,2018-03-02T15:13:36Z,2018,2017-2018,Spring,39,1/23/2018,2017-2023_Generic_Post_Survey,post-study-survey_2017-2018,3,NA,NA,NA,2.6,3.5,4.1,4.7,3.4,0,1,NA,3,4,2,1,4,3,2,1,1,2,2,3,5,3,2,3,3,5,5,1,5,4,4,3,2,5,5,5,3,3,2,5,1,2,3,3,2,4,5,5,3,4,5,3,4,1,4,4,2,3,1,4,2,2,3,3,4,5,1,3,4,5,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SEP_3_0009,R_2bZBCPp98w6lcEY,Spring-2018,2018-03-08T13:58:45Z,2018,2017-2018,Spring,45,1/23/2018,2017-2023_Generic_Post_Survey,post-study-survey_2017-2018,3.875,NA,NA,NA,1.8,4.2,4.7,4.6,4,0,2,NA,3,1,4,1,4,4,1,1,1,3,2,3,4,2,1,1,2,5,5,1,5,3,4,2,1,5,4,2,1,4,5,5,1,1,3,5,1,3,2,5,2,3,5,1,2,1,4,5,1,4,1,5,3,2,4,1,4,5,1,2,1,5,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.75,4,0,1,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SEP_3_0010,R_3lQ8Ikqhek9tVh9,Spring-2018,2018-03-08T14:25:49Z,2018,2017-2018,Spring,45,1/23/2018,2017-2023_Generic_Post_Survey,post-study-survey_2017-2018,2.625,NA,NA,NA,2,4.3,4.4,3.9,4.4,0,1,NA,1,2,2,1,2,1,1,1,2,1,2,3,3,4,2,1,4,3,5,1,4,3,4,2,1,4,4,1,2,5,5,5,2,2,3,4,2,2,4,5,1,5,5,2,1,2,5,5,2,5,4,5,2,2,4,2,4,4,1,2,2,5,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,3.75,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
