participant_id,participant_id_dataset,semester_id,date,year,academic_year,semester,days_since_semester_start,first_day_of_the_semester,dataset_of_origin,Q34,Q36,Q38,Q40,Q42,Q44,Q46,Q48,Q50,Q52,Q54,Q56,Q58,Q60,Q91,Q93,Q95,Q97,Q99,Q101,Q103,Q105,Q107,Q109,Q111,Q113,Q115,Q117,Q119,Q121,Q123,Q125,...43
SEP_2_0001,NA,spring-2019,2019-03-12T00:00:00Z,2019,2018-2019,spring,49,2019-01-22,2,8,5,7,5,5,1,6,1,1,2,8,7,8,6,1,2,7,3,4,6,2,5,6,1,7,2,5,7,1,4,6,3,NA
SEP_2_0002,NA,spring-2019,2019-03-28T00:00:00Z,2019,2018-2019,spring,65,2019-01-22,2,8,5,7,5,6,5,6,7,2,2,8,2,2,6,5,6,3,6,8,8,6,7,1,4,4,6,7,1,7,7,5,3,NA
SEP_2_0003,NA,spring-2019,2019-03-29T00:00:00Z,2019,2018-2019,spring,66,2019-01-22,2,8,5,7,5,5,6,6,6,5,2,7,5,5,6,5,6,5,5,1,3,6,7,5,7,7,1,1,1,1,7,5,3,NA
SEP_2_0004,NA,spring-2019,2019-03-29T00:00:00Z,2019,2018-2019,spring,66,2019-01-22,2,8,5,7,5,6,1,6,7,2,2,7,2,4,8,5,6,5,5,8,5,6,3,5,6,8,6,8,2,1,7,1,2,NA
SEP_2_0005,NA,spring-2019,2019-03-29T00:00:00Z,2019,2018-2019,spring,66,2019-01-22,2,8,5,7,6,6,3,6,4,4,2,7,4,5,7,1,6,4,4,8,6,6,3,1,4,4,6,7,2,1,1,1,3,NA
SEP_2_0006,NA,spring-2019,2019-04-05T00:00:00Z,2019,2018-2019,spring,73,2019-01-22,2,8,5,5,5,4,5,6,7,2,2,7,2,3,5,5,6,7,6,7,4,1,3,5,7,7,1,7,1,1,1,1,3,NA
SEP_2_0007,NA,spring-2019,2019-04-19T00:00:00Z,2019,2018-2019,spring,87,2019-01-22,2,8,4,7,5,5,5,6,7,5,2,7,2,3,6,5,6,3,6,8,8,6,7,5,4,8,6,7,7,1,1,5,3,NA
SEP_2_0008,NA,spring-2019,2019-04-22T00:00:00Z,2019,2018-2019,spring,90,2019-01-22,2,8,5,4,5,1,1,6,7,5,2,7,2,4,6,5,6,3,6,1,8,6,3,3,1,5,1,7,2,1,1,8,6,NA
SEP_2_0009,NA,spring-2019,2019-04-23T00:00:00Z,2019,2018-2019,spring,91,2019-01-22,2,8,4,7,5,7,6,2,7,5,2,7,3,8,2,5,1,7,5,1,5,2,6,1,7,7,3,1,2,7,8,4,7,NA
SEP_2_0010,NA,spring-2019,2019-04-24T00:00:00Z,2019,2018-2019,spring,92,2019-01-22,2,8,5,4,5,4,1,2,1,1,2,7,7,2,6,5,8,7,3,5,7,6,3,5,5,7,4,8,2,2,7,6,3,NA
SEP_2_0011,NA,spring-2019,2019-04-25T00:00:00Z,2019,2018-2019,spring,93,2019-01-22,2,8,5,7,5,6,6,6,1,5,2,7,7,8,8,8,6,6,6,8,8,3,2,5,8,2,8,6,7,6,7,5,7,NA
SEP_2_0012,NA,spring-2019,2019-04-26T00:00:00Z,2019,2018-2019,spring,94,2019-01-22,2,8,5,2,5,5,6,6,7,2,2,7,2,3,7,5,6,8,6,8,8,6,3,5,7,8,6,7,1,1,1,8,6,NA
SEP_2_0013,NA,spring-2019,2019-04-29T00:00:00Z,2019,2018-2019,spring,97,2019-01-22,2,8,5,3,5,6,6,6,1,3,2,8,2,2,8,5,2,2,3,8,8,3,7,5,3,8,4,7,1,7,8,6,8,NA
SEP_2_0014,NA,spring-2019,2019-04-29T00:00:00Z,2019,2018-2019,spring,97,2019-01-22,2,8,5,7,5,4,5,8,8,1,2,8,7,5,8,8,4,6,6,1,6,3,3,3,5,7,1,8,7,1,7,3,3,NA
SEP_2_0015,NA,spring-2019,2019-04-30T00:00:00Z,2019,2018-2019,spring,98,2019-01-22,2,7,5,7,5,6,6,6,7,5,2,8,2,3,3,8,6,2,5,8,3,6,7,1,4,3,6,8,2,3,3,6,3,NA
SEP_2_0016,NA,spring-2019,2019-04-30T00:00:00Z,2019,2018-2019,spring,98,2019-01-22,2,8,5,5,5,1,6,6,4,5,2,7,4,3,5,1,6,3,6,8,5,6,3,3,7,4,6,6,7,7,7,5,2,NA
SEP_2_0017,NA,spring-2019,2019-05-01T00:00:00Z,2019,2018-2019,spring,99,2019-01-22,2,8,5,6,5,8,1,6,2,4,2,8,3,4,7,1,2,2,5,5,3,1,3,5,4,5,6,7,1,7,7,7,3,NA
